jobId,applicationId,candidateId,keywordScore,skillScore,semanticScore,isRelevant,protectedGroup
job-1,app-1,cand-1,80,85,82,1,none
job-1,app-2,cand-2,70,75,78,1,groupA
job-1,app-3,cand-3,45,55,50,0,none
job-1,app-4,cand-4,62,66,68,1,groupB
job-1,app-5,cand-5,30,40,42,0,none
job-1,app-6,cand-6,58,61,59,0,groupA
job-2,app-7,cand-7,76,73,79,1,none
job-2,app-8,cand-8,64,69,65,1,groupB
job-2,app-9,cand-9,35,48,44,0,none
job-2,app-10,cand-10,51,57,60,0,groupA
job-2,app-11,cand-11,82,88,84,1,none
job-2,app-12,cand-12,44,46,49,0,groupB
job-3,app-13,cand-13,69,71,74,1,groupA
job-3,app-14,cand-14,55,60,63,0,none
job-3,app-15,cand-15,84,81,86,1,none
job-3,app-16,cand-16,47,53,51,0,groupB
job-3,app-17,cand-17,61,67,66,1,groupA
job-3,app-18,cand-18,28,35,32,0,none
